DR Number,Victim Age,Victim Sex,Victim Descent
130312094,33,M,B
130312127,44,F,B
130312136,26,M,H
130312138,37,F,B
130312141,24,M,H
130312147,14,F,H
130312150,46,M,B
130312164,49,M,B
130312180,42,F,B
130312202,17,F,B
130312209,23,F,B
130312286,28,F,H
130312305,16,F,B
130312318,52,M,B
130312321,41,M,H
130312332,39,M,H
130312346,16,M,H
130312356,14,M,H
130312357,16,M,H
130312376,17,F,H
130312383,19,F,B
130312418,20,M,B
130312452,18,M,H
130312458,31,F,B
130312480,45,M,H
130312484,41,M,H
130312488,21,M,B
130312492,24,M,H
130312519,18,M,H
130312548,25,F,B
130312555,18,M,H
130312567,37,F,B
130312568,22,M,B
130312594,19,F,B
130312595,49,F,H
130312646,14,M,H
130312647,19,F,H
130312652,34,M,B
130312691,55,F,B
130312709,30,F,H
130312723,16,M,H
130312774,51,F,B
130312776,18,M,H
130312784,19,M,B
130312786,19,M,B
130312800,38,F,H
130312818,57,M,H
130312821,54,F,H
130312866,30,F,B
130312869,22,F,B
130312885,52,M,H
130312889,19,M,B
130312893,16,M,H
130312903,33,F,B
130312905,12,M,H
130312911,28,M,B
130312915,44,F,B
130312928,55,M,H
130312929,27,F,B
130312951,39,F,B
130312952,21,F,B
130312974,35,M,H
130312975,38,F,B
130313012,29,F,H
130313043,20,F,W
130313046,67,M,W
130313125,22,M,H
130313131,59,F,B
130313137,20,M,H
130313158,33,M,B
130313160,74,F,H
130313162,20,M,B
130313163,17,F,B
130313194,12,M,H
130313234,56,M,B
130313253,45,F,H
130313256,47,M,H
130313257,33,F,B
130313259,61,M,B
130313261,29,M,H
130313263,30,M,H
130313307,24,F,H
130313334,56,M,H
130313335,16,M,H
130313373,44,F,H
130313540,20,M,O
130313542,11,M,H
130313570,41,M,B
130313576,31,M,H
130313591,20,F,B
130313595,27,F,B
130313641,14,M,B
130313726,27,M,H
130313732,25,F,B
130313740,21,M,H
130313743,23,M,H
130313748,58,M,H
130313776,23,F,H
130313788,61,M,O
130313841,56,M,B
130313872,20,F,H
130313873,20,F,H
130313892,52,M,B
130313897,74,F,B
130313898,56,M,B
130313906,50,F,B
130313922,22,M,H
130313923,56,F,B
130313956,28,M,B
130314026,46,M,B
130314062,21,M,B
130314077,19,F,B
130314078,19,M,H
130314079,34,M,B
130314080,25,F,B
130314091,71,M,B
130314111,54,M,B
130314152,51,M,H
130314169,67,M,H
130314183,14,F,H
130314196,35,M,H
130314198,31,F,H
130314225,13,F,B
130314305,18,F,H
130314306,30,M,B
130314335,30,F,O
130314342,14,M,B
130314379,23,F,H
130314383,39,F,B
130314416,32,F,B
130314417,16,M,B
130314444,35,M,H
130314445,25,F,H
130314500,12,M,B
130314501,28,F,B
130314511,21,F,B
130314512,23,M,B
130314534,29,F,B
130314552,43,M,B
130314723,19,F,H
130314724,16,M,H
130314731,44,F,B
130314744,22,M,B
130314745,27,F,B
130314765,23,M,H
130314767,18,F,B
130314829,26,H,B
130314841,36,M,B
130314843,18,F,H
130314850,38,F,B
130314907,20,M,B
130314964,20,F,H
130314971,27,M,B
130314980,19,F,H
130314986,33,M,H
130315001,39,M,H
130315002,21,F,B
130315018,27,F,B
130315048,18,F,H
130315052,20,F,B
130315053,23,F,B
130315117,47,M,B
130315131,62,M,H
130315156,51,F,B
130315169,50,F,B
130315187,42,M,B
130315192,18,M,H
130315206,20,F,B
130315210,53,M,H
130315220,55,M,B
130315227,21,F,B
130315229,32,M,H
130315230,24,F,H
130315266,40,F,H
130315273,57,M,H
130315349,17,M,H
130315411,77,M,B
130315412,56,M,B
130315426,25,M,H
130315429,56,M,B
130315455,37,F,B
130315469,21,F,B
130315471,29,M,W
130315489,56,F,H
130315500,54,F,B
130315520,20,M,B
130315541,24,F,H
130315548,35,F,B
130315646,20,M,H
130315650,22,M,H
130315651,24,F,H
130315652,15,F,H
130315666,57,M,B
130315669,28,M,H
130315674,48,M,B
130315677,16,M,B
130315724,31,M,H
130315745,30,F,B
130315817,27,F,B
130315840,49,F,H
130315845,24,F,B
130315849,55,M,O
130315858,17,M,B
130315859,18,F,B
130315860,18,F,H
130315893,46,M,H
130315900,52,M,H
130315902,48,F,B
130315920,36,M,H
130315922,23,M,H
130315925,21,F,H
130315949,50,M,B
130315953,23,F,H
130315967,19,M,B
130315968,28,M,H
130315969,26,M,H
130315988,19,F,H
130316054,41,F,B
130316060,24,M,H
130316063,56,M,H
130316074,36,M,B
130316076,59,M,B
130316099,28,F,B
130316103,61,M,H
130316106,24,M,B
130316122,20,F,B
130316148,13,F,B
130316158,24,F,B
130316164,18,F,B
130316191,34,F,H
130316194,40,M,B
130316203,18,F,B
130316223,51,F,B
130316243,16,M,H
130316245,19,F,B
130316248,29,M,B
130316304,57,M,B
130316311,59,M,B
130316313,25,F,H
130316321,68,M,H
130316325,29,M,W
130316336,33,M,B
130316346,44,F,B
130316350,32,F,B
130316352,25,M,A
130316357,25,M,W
130316407,27,M,H
130316413,51,M,B
130316440,46,M,B
130316446,41,M,B
130316448,48,M,H
130316449,17,M,H
130316467,39,M,H
130316472,26,F,H
130316490,73,M,O
130316509,12,F,B
130316514,35,F,B
130316529,29,F,W
130316545,21,F,B
130316561,45,M,W
130316579,54,M,O
130316580,56,M,W
130316584,33,F,H
130316590,19,M,B
130316595,53,M,H
130316599,30,F,B
130316610,30,F,B
130316614,44,F,H
130316628,59,M,H
130316651,23,F,B
130316655,43,M,B
130316660,22,F,B
130316661,19,F,B
130316694,26,F,B
130316709,15,F,H
130316720,21,F,B
130316751,39,M,B
130316794,40,F,H
130316833,39,F,H
130316835,35,M,H
130316859,24,F,O
130316865,18,M,B
130316872,25,F,H
130316876,37,M,B
130316889,23,M,B
130316892,39,F,B
130316900,86,F,H
130316932,39,F,B
130316935,18,M,H
130316936,26,M,H
130316938,45,F,B
130316989,31,M,O
130316990,22,M,B
130316994,22,F,H
130316995,33,M,H
130317030,82,M,A
130317071,23,M,B
130317074,26,F,H
130317079,23,F,B
130317107,38,F,B
130317120,21,F,B
130317122,32,F,B
130317130,51,F,H
130317131,58,M,H
130317132,61,M,H
130317152,71,M,B
130317199,54,M,H
130317202,25,M,H
130317203,24,F,H
130317247,51,M,B
130317255,26,F,H
130317279,18,M,H
130317280,40,M,H
130317295,25,F,B
130317323,17,M,H
130317328,17,F,B
130317329,30,F,H
130317337,21,F,B
130317356,86,M,B
130317390,18,M,H
130317439,50,F,B
130317450,25,F,H
130317460,17,F,B
130317471,45,M,B
130317486,52,F,B
130317501,33,M,H
130317520,12,M,H
130317560,19,F,O
130317561,29,F,O
130317569,62,F,H
130317570,24,F,B
130317589,64,M,B
130317621,19,M,H
130317625,49,F,B
130317627,39,M,H
130317635,25,M,O
130317648,22,M,H
130317657,43,F,B
130317663,24,F,H
130317675,60,M,B
130317676,20,F,B
130317684,24,M,B
130317701,51,F,B
130317747,26,F,B
130317751,59,M,B
130317752,30,F,H
130317753,36,M,H
130317776,43,F,H
130317791,39,F,B
130317803,21,F,H
130317804,25,F,B
130317827,36,F,H
130317829,38,M,H
130317842,24,F,W
130317857,18,M,B
130317858,19,M,B
130317859,19,F,B
130317884,45,M,W
130317897,47,F,H
130317899,53,M,H
130317901,33,M,B
130317904,24,M,H
130317905,50,M,H
130317930,54,M,W
130317936,35,M,H
130317975,74,F,H
130317980,24,F,B
130317985,24,M,B
130317997,21,F,W
130318013,20,M,O
130318019,21,F,O
130318107,29,F,B
130318113,67,M,B
130318134,22,F,B
130318135,17,F,H
130318137,15,M,H
130318149,41,F,B
130318153,27,F,B
130318223,22,F,H
130318227,16,M,B
130318234,22,F,B
130318235,40,F,B
130318236,63,F,B
130318238,53,F,B
130318239,53,M,B
130318244,19,F,H
130318310,36,M,H
130318381,31,M,H
130318404,22,M,B
130318405,21,F,H
130318407,15,M,B
130318412,62,M,H
130318422,13,F,B
130318426,56,M,B
130318427,51,F,B
130318432,27,F,B
130318436,18,M,H
130318449,26,M,B
130318527,16,F,B
130318554,21,M,H
130318555,44,M,O
130318571,54,M,B
130318580,35,F,H
130318639,20,M,O
130318643,27,F,B
130318657,29,F,B
130318677,28,M,H
130318723,28,F,B
130318788,26,F,B
130318794,25,M,W
130318798,31,F,B
130318845,23,M,H
130318846,23,F,H
130318880,28,M,H
130318881,16,M,H
130318882,16,F,H
130318883,24,M,B
130318896,27,M,B
130318944,26,M,H
130318961,45,F,W
130318970,24,M,B
130318983,35,F,H
130318990,19,F,W
130319003,44,F,W
130319005,52,M,H
130319008,25,M,H
130319011,18,M,H
130319045,39,M,H
130319058,54,M,B
130319060,21,F,B
130319081,14,F,B
130319082,16,F,B
130319085,20,M,H
130319088,19,M,B
130319089,19,M,B
130319098,32,F,H
130319133,16,M,H
130319141,22,F,H
130319146,18,M,H
130319147,12,F,H
130319186,48,F,H
130319190,27,M,B
130319205,24,F,B
130319218,24,M,B
130319299,45,M,H
130319309,33,F,B
130319378,29,F,B
130319401,17,F,H
130319433,52,M,B
130319439,18,F,B
130319444,27,F,H
130319445,35,F,H
130319447,57,F,H
130319471,30,M,H
130319483,20,M,H
130319484,24,M,H
130319485,24,M,H
130319487,18,M,H
130319488,23,M,H
130319489,38,M,H
130319505,23,M,H
130319509,55,F,B
130319516,22,F,B
130319530,16,F,H
130319608,50,M,H
130319626,70,M,B
130319627,18,M,H
130319630,32,M,B
130319631,44,M,B
130319653,53,M,B
130319661,46,F,B
130319667,48,M,B
130319670,22,M,W
130319692,54,M,B
130319693,18,F,B
130319695,28,F,B
130319696,20,M,H
130319697,21,M,W
130319700,26,F,H
130319705,17,F,H
130319706,27,F,H
130319707,43,F,H
130319708,56,F,B
130319767,36,F,H
130319829,32,M,H
130319874,13,M,H
130319875,13,F,B
130319911,21,F,O
130319916,23,F,B
130319919,31,F,B
130319939,21,M,B
130319957,24,F,B
130319986,19,F,A
130320031,63,F,W
130320073,18,M,B
130320084,11,M,B
130320085,23,F,O
131405032,63,M,W
130320125,50,F,W
130320131,53,M,B
130320141,24,F,B
130320149,53,M,H
130320150,16,F,H
130320152,28,F,B
130320250,48,F,B
130320322,32,F,B
130320323,49,F,B
130320325,51,M,W
130320326,28,F,B
130320385,47,F,B
130320390,26,F,B
130320421,67,M,H
130320423,27,F,B
130320424,40,M,B
130320431,25,F,B
130320439,19,M,A
130320495,37,F,H
130320496,19,M,H
130320497,19,M,H
130320498,19,M,H
130320524,14,F,B
130320550,41,F,B
130320628,54,F,B
130320635,18,M,H
130320639,49,M,B
130320757,18,M,H
130320778,28,M,H
130320791,18,M,H
130320792,67,M,H
130320815,65,M,H
130320873,34,M,H
130320876,24,F,B
130320877,19,F,O
130320886,38,F,B
130320899,23,F,B
130320937,35,F,O
130320938,31,F,W
130320941,27,F,B
130320995,15,M,H
130321018,39,M,B
130321044,25,F,H
130321073,40,F,H
130321094,30,F,B
130321109,34,M,H
130321110,53,F,H
130321123,21,F,H
130321140,23,F,B
130321190,13,F,H
130321201,16,M,B
130321208,13,M,H
130321223,15,F,U
130321228,14,M,H
130321230,34,F,B
130321235,60,M,B
130321288,25,F,B
130321310,69,F,B
130321322,33,M,H
130321324,22,F,B
130321326,32,M,H
130321338,52,M,H
130321383,23,F,B
130321386,53,M,H
130321454,16,M,H
130321465,18,F,B
130321471,20,F,B
130321499,23,M,W
130321515,26,F,B
130321527,55,M,B
131321066,25,F,H
130321578,30,M,H
130321582,26,F,B
130321588,69,M,H
130321596,74,M,B
130321600,56,F,H
130321607,16,F,B
130321614,35,F,W
130321746,12,F,H
130321784,24,F,B
130321786,54,M,H
130321790,14,M,B
130321791,53,F,B
130321815,25,M,W
130321849,23,F,B
130321865,13,F,B
130321886,58,F,B
130321897,15,M,H
130321914,45,M,H
130321950,46,F,B
130321961,43,M,H
100320860,22,F,B
130322018,37,F,O
130322021,58,F,H
130322077,17,M,B
130322108,53,F,B
130322121,13,F,B
130322122,34,M,B
130322124,25,M,W
130322125,22,F,W
130322175,53,M,B
130322187,34,M,B
130322188,29,F,W
130322189,26,F,B
130322191,15,M,H
130322212,38,M,B
130322222,27,M,B
130322223,12,M,X
130322257,40,F,H
130322280,14,M,H
130322281,17,M,H
130322321,21,F,H
130322356,41,M,B
130322376,28,F,B
130322429,21,M,H
130322434,14,M,B
130322437,22,M,B
130322466,35,M,H
130322492,47,M,H
130322493,20,M,H
130322495,17,F,B
130322530,32,F,B
130322533,29,F,H
130322536,54,M,B
130322542,41,F,W
130322543,37,M,B
130322572,54,M,A
130322574,22,M,B
130322576,26,M,H
130322583,37,M,B
130322601,25,M,H
130322614,28,F,H
130322633,59,F,B
130322646,21,F,H
130322647,28,M,H
130322649,22,M,H
130322783,30,M,H
130322786,43,M,H
130322788,20,F,B
130322800,42,F,H
130322805,30,M,B
130322843,16,F,H
130322855,85,M,H
130322885,28,F,B
130322886,16,F,W
130322892,13,M,B
130322898,25,F,B
130322899,23,M,H
130322941,21,F,B
130322996,22,F,H
130323001,28,F,B
130323066,66,F,H
130323086,16,F,B
130323087,19,F,H
130323091,19,M,B
130323095,26,F,B
130323106,52,F,B
130323108,20,M,B
130323112,53,M,B
130323191,14,F,B
130323196,26,F,B
130323209,19,F,B
130323222,31,F,H
130323279,32,M,W
130323312,14,M,H
130323321,18,M,H
130323323,36,M,H
130323330,53,F,O
130323345,21,M,H
130323350,23,M,B
130323351,26,M,B
130323352,45,F,B
130323408,22,F,B
130323413,48,F,B
130323416,46,M,H
130323418,49,F,B
130323422,62,M,B
130323429,49,F,B
130323438,16,M,B
130323440,30,F,B
130323443,29,M,B
130323479,19,M,H
130323532,29,F,B
130323534,26,F,B
130323537,57,F,B
130323539,19,F,H
130323653,29,M,H
130323702,37,F,B
130323720,47,M,B
130323723,58,M,H
130323725,43,F,B
130323767,45,F,H
130323804,22,M,H
130323808,16,M,B
130323809,45,F,H
130323810,49,M,H
130323811,16,F,H
130323858,21,F,B
130323859,30,F,B
130323860,33,F,B
130323862,34,F,H
130323921,50,M,H
130323929,24,M,H
130323951,48,F,B
130323988,30,M,B
130323989,46,M,H
130323990,49,M,H
130323991,22,F,H
130324004,16,F,H
130324020,19,F,O
130324052,27,M,H
130324064,36,M,W
130324076,48,F,H
130324079,52,M,B
130324134,34,M,H
130324136,35,M,H
130324147,28,M,B
130324148,46,M,B
130324162,21,F,B
130324186,37,M,H
130324188,33,M,H
130324207,43,M,B
130324291,30,M,W
130324293,58,M,H
130324294,21,F,W
130324295,44,M,B
130324296,27,F,B
130324340,38,F,B
130324372,58,F,B
130324381,13,M,H
130324385,31,M,H
130324386,20,F,H
130324415,32,M,B
130324448,26,F,B
130324471,17,M,H
130324472,18,M,H
130324511,15,M,H
130324529,27,F,B
130324559,27,F,B
130324563,15,F,H
130324597,42,M,H
130324602,24,M,B
130324603,51,F,B
130324620,22,F,H
130324649,22,M,W
130324650,15,M,H
130324665,47,F,H
130324695,37,F,B
130324724,16,F,B
130324740,24,F,H
130324774,48,M,B
130324817,22,M,B
130324802,62,M,B
130324804,38,M,B
130324842,33,M,B
130324859,15,M,H
130324890,20,F,B
130324892,24,M,B
130324893,26,F,B
130324908,13,F,H
130324909,16,F,B
130324912,23,F,B
130324918,42,F,B
130324919,15,M,H
130324970,19,F,B
130324972,33,M,H
130324975,55,M,B
130324983,34,M,H
130325008,29,M,H
130325011,23,M,H
130325059,17,F,B
130325077,29,M,H
130325113,28,M,H
130325114,22,M,H
130325121,44,F,H
130325149,30,M,B
130325150,21,M,W
130325186,45,M,B
130325198,20,F,B
130325258,41,M,H
130325261,56,F,B
130325262,11,F,B
130325263,61,M,H
130325264,37,M,B
130325325,45,F,B
130325348,25,F,B
130325354,10,F,H
130325365,15,M,B
130325384,30,M,H
130325418,18,M,H
130325427,28,F,B
130325453,28,M,B
130325457,18,F,B
130325482,23,M,B
130325508,23,M,H
130325513,40,F,W
130325563,20,F,H
130325588,24,F,W
130325612,29,F,B
130325613,32,F,B
130325628,19,M,B
130325664,24,M,H
130325710,49,F,B
130325734,23,F,B
130325736,45,F,H
130325738,34,M,B
130325785,22,M,H
130325802,18,F,H
130325809,18,M,B
130325811,56,F,H
130325813,14,M,H
130325814,21,F,B
130325819,46,M,H
130325850,20,F,B
130325858,51,M,B
130325865,15,F,B
130325875,68,M,B
130325922,28,M,B
130325923,45,M,H
130325967,20,F,B
130325979,53,M,B
130325981,61,M,H
130325982,34,M,W
130325988,48,F,H
130326053,20,F,B
130326102,12,M,X
130326114,60,F,B
130326120,25,F,B
130326128,35,F,B
130326130,23,F,B
130326131,17,F,B
130326159,22,F,B
130326172,38,F,H
130326196,39,M,B
130326268,54,M,H
130326304,25,M,H
130326306,14,F,B
130326353,17,F,B
130326367,33,M,H
130326406,33,M,B
130326418,25,M,H
130326460,37,M,B
130326461,21,M,H
130326467,20,F,B
130326473,23,F,H
130326479,28,F,B
130326495,42,F,B
130326522,21,F,B
130326523,21,M,B
130326524,52,F,H
130326553,21,M,H
130326556,40,M,H
130326557,62,M,H
130326559,37,M,W
130326560,27,F,W
130326599,33,M,B
130326635,18,F,H
130326645,23,F,B
130326653,23,F,B
130326694,24,F,W
130326700,25,M,H
130326705,58,F,B
130326709,39,F,O
130326724,56,F,B
130326732,39,M,H
130326738,37,F,H
130326758,19,M,H
130326767,23,M,O
130326768,50,M,B
130326780,60,F,B
130326784,49,F,B
130400615,47,M,H
130400637,55,M,H
130400674,12,F,H
130400708,19,M,H
130400723,12,M,X
130400761,21,M,H
130400779,19,M,H
130400796,36,X,X
130400806,16,M,H
130400807,16,F,H
130400818,79,M,H
130400852,19,M,H
130400897,58,M,H
130400953,18,F,H
130400957,37,F,H
130400970,33,M,H
130401028,14,F,H
130401051,20,M,H
130401062,22,M,H
130401063,22,M,H
130401064,22,M,H
130401084,26,F,H
130401118,23,F,H
130404035,37,F,H
130404071,32,F,H
130404080,37,M,H
130404081,76,M,H
130404180,23,F,W
130404185,20,M,H
130404186,18,F,W
130404220,23,F,H
130404302,14,M,H
130404327,27,M,H
130404336,16,M,H
130404352,52,M,H
130404357,22,F,H
130404408,12,M,H
130404457,32,M,H
130404479,17,M,H
130404481,28,F,H
130404485,15,M,H
130404585,51,F,H
130404673,68,M,H
130404680,87,M,H
130404767,19,F,B
130405004,24,F,H
130404836,42,F,H
130404913,21,M,H
130404932,28,M,H
130404933,14,F,H
130404961,38,F,H
130405164,29,M,H
130405255,15,M,H
130405291,52,F,H
130405298,36,F,H
130405371,28,M,H
130405398,22,F,H
130405448,34,F,H
130405455,16,F,H
130405487,34,M,H
130405509,16,M,H
130405636,14,F,H
130405698,20,M,H
130405760,43,F,B
130405783,16,F,H
130405815,16,F,H
130405816,19,F,H
130405823,36,M,H
130405840,13,M,H
130405852,32,F,H
130405877,52,M,H
130405905,31,F,H
130406009,23,M,O
130406103,15,M,H
130406104,21,M,X
130406213,43,M,H
130406335,68,F,H
130406336,11,M,H
130406346,19,M,H
130406356,51,M,H
130406363,35,F,H
130406381,52,F,H
130406382,42,F,H
130406392,34,M,H
130406393,24,M,H
130406399,22,F,H
130406404,29,F,H
130406414,48,M,H
130406448,39,M,H
130406475,13,F,H
130406476,17,F,H
130406523,15,M,H
130406574,19,F,W
130406628,47,M,H
130406646,17,M,H
130406647,17,M,H
130406648,29,M,H
130406670,42,M,H
130406677,39,M,H
130406679,24,F,H
130406680,29,M,H
130406681,20,F,H
130406687,48,F,H
130406688,57,M,H
130406695,47,M,H
130406719,22,F,H
130406720,26,M,H
130406732,55,M,W
130406754,13,M,H
130406848,42,M,H
130406917,19,F,H
130406921,40,F,H
130407006,18,M,H
130407093,43,M,H
130407159,45,F,H
130407168,16,M,H
130407187,19,M,H
130407230,30,F,H
130407231,16,F,H
130407283,22,F,H
130407287,19,F,H
130407292,45,M,H
130407306,36,M,H
130407370,58,M,W
130407410,21,M,H
130407434,28,F,H
130407493,34,F,H
130407518,13,F,H
130407523,47,M,H
130407535,69,M,H
130407577,37,M,H
130407584,18,M,H
130407587,74,M,H
130407658,40,F,H
130407673,51,F,H
130407676,41,F,H
130407729,16,M,H
130407799,14,M,H
130407803,20,F,H
130407855,49,M,H
130407856,14,F,H
130407925,22,M,B
130408033,14,M,H
130408118,14,M,H
130408121,56,M,H
130408151,15,F,H
130408178,43,F,H
130408200,19,M,H
130408252,57,F,I
130408272,21,F,H
130408287,12,F,H
130408298,13,M,H
130408306,21,F,H
130408330,22,M,H
130408332,29,M,H
130408358,46,M,H
130408360,14,M,H
130408377,21,M,H
130408434,29,F,H
130408456,22,F,W
130408539,45,M,H
130408540,16,M,H
130408541,17,M,H
130408631,39,F,H
130408682,49,F,H
130408691,28,F,H
130408708,34,M,H
130408718,21,F,W
130408733,71,M,W
130408759,39,M,H
130408760,32,M,H
130408765,45,M,H
130408801,18,F,H
130408815,38,M,H
130408838,32,F,H
130408851,48,F,H
130408872,36,M,H
130408873,29,F,H
130408882,22,M,H
130408943,24,F,H
130408951,33,F,B
130409006,15,F,H
130409007,19,F,H
130409019,24,M,H
130409065,59,F,H
130409068,15,F,H
130409070,42,M,W
130409103,50,F,H
130409157,56,F,B
130409182,24,M,H
130409193,31,F,H
130409197,18,F,H
130409205,44,M,H
130409264,20,M,H
130409307,26,M,H
130409312,27,F,H
130409363,12,M,H
130409382,36,F,H
130409409,34,M,B
130409494,51,M,B
130409514,22,M,H
130409515,17,F,H
130409623,18,M,H
130409629,22,M,H
130409768,20,F,H
130409856,12,F,H
130409863,24,M,H
130409880,27,M,H
130409887,20,M,H
130409945,17,F,H
130409956,16,F,H
130409969,28,M,W
130410034,14,F,H
130410046,43,F,H
130410083,38,M,H
130410108,42,M,B
131321103,16,M,H
130410166,19,M,H
130410190,53,M,W
130410306,27,M,O
130410338,22,M,H
130410352,58,F,H
130410359,50,M,H
130410360,23,M,H
130410367,29,M,H
130410554,19,M,H
130410450,39,F,H
130410472,27,F,H
130410540,28,M,H
130410579,18,F,H
130410705,19,F,H
130410740,22,M,O
130410798,62,M,H
130410862,43,M,W
130410886,37,F,H
130410894,12,M,H
130410908,58,M,H
130410967,51,M,H
130410973,22,M,H
130411004,19,M,H
130411102,12,M,H
130411123,77,M,H
130411163,24,F,H
130411234,29,F,H
130411235,85,M,W
130411260,18,F,H
130411267,25,F,H
130411281,55,F,H
130411284,46,M,H
130411306,28,M,H
130411400,38,F,H
130411401,28,F,H
130411426,58,M,H
130411491,44,F,H
130411536,39,M,W
130411581,20,F,H
130411626,29,M,B
130411668,52,M,H
130411683,32,F,H
130411685,30,M,H
130411686,22,M,H
130411738,20,M,H
130411770,31,M,W
130411774,29,M,H
130411787,23,F,H
130411871,31,M,H
130411897,20,M,H
130411899,19,F,H
130411927,24,M,H
130411949,21,F,H
130412001,23,M,H
130412093,28,F,H
130412115,16,M,H
130412143,24,M,H
130412193,37,H,H
130412194,16,F,H
130412260,43,M,H
130412267,52,F,H
130412268,40,F,H
130412297,36,M,H
130412376,16,M,H
130412416,33,F,H
130412427,48,M,H
130412454,36,M,H
130412487,20,M,H
130412606,44,M,H
130412666,46,F,H
130412679,23,M,H
130412681,18,F,H
130412683,40,M,H
130412691,27,F,H
130412718,24,F,H
130412761,58,F,H
130412764,16,M,H
130412775,17,M,H
130412819,21,M,H
130412830,17,F,H
130412839,15,F,H
130412854,26,M,H
130412856,22,F,H
130412881,38,F,H
130412884,47,F,H
130412921,25,M,W
130412944,16,M,H
130412955,58,M,H
130412962,12,M,H
130412972,35,F,B
130412991,14,M,H
130413044,25,M,H
130413055,25,F,H
130413059,39,F,H
130413060,17,M,H
130413078,24,F,H
130413123,22,M,H
130413153,20,M,H
130413154,50,M,H
130413159,41,M,H
130413160,42,M,H
130413161,28,M,H
130413163,23,F,H
130413191,44,M,B
130413213,18,M,B
130413297,52,M,H
130413312,24,M,H
130413349,22,F,H
130413383,52,M,H
130413388,49,F,H
130413403,20,M,H
130413433,23,F,H
130413458,39,F,H
130413534,36,F,H
130413539,17,M,H
130413545,21,M,H
130413574,37,F,W
130413666,20,M,H
130413678,27,F,H
130413681,60,F,H
130413685,40,M,H
130413686,23,F,H
130413788,41,M,H
130413808,42,M,H
130413838,12,F,H
130413878,66,M,H
130413904,17,M,H
130413918,18,F,H
130413934,26,M,H
130413983,20,F,H
130413985,20,M,H
130413986,31,M,H
130414013,24,M,H
130414051,20,M,H
130414054,20,F,H
130414079,29,F,H
130414087,56,F,H
130414124,21,M,H
130414144,16,F,H
130414205,43,M,H
130414206,51,F,H
130414230,21,M,H
130414231,28,M,H
130414236,45,F,H
130414246,55,F,H
130414248,33,M,B
130414249,48,F,B
130414254,33,M,H
130414277,34,F,H
130414290,22,F,H
130414355,37,M,H
130414380,25,F,H
130414397,16,F,H
130414480,27,M,H
130414491,35,F,H
130414495,28,M,H
130414516,22,F,H
130414532,19,F,H
130414534,14,M,H
130414535,18,M,H
130414554,15,M,H
130414601,64,M,H
130414681,53,M,H
130414723,17,M,H
130414768,28,F,H
130414771,18,F,H
130414822,21,M,H
130414825,53,M,H
130414863,20,M,H
130414919,29,F,H
130414936,30,M,H
130415043,45,F,H
130415045,45,M,H
130415098,54,F,H
130415121,21,F,H
130415131,12,M,H
130415146,14,F,H
130415216,18,F,H
130415395,44,M,H
130415427,44,M,H
130415496,31,F,H
130415516,22,F,H
130415586,28,M,H
130415626,36,M,B
130415627,37,F,B
130415653,18,F,H
130415673,40,M,H
130415737,17,M,H
130415741,18,M,H
130415792,60,F,H
130415796,18,M,H
130415822,27,F,H
130415823,23,F,H
130415825,27,M,H
130415835,34,F,H
130415907,18,M,H
130415924,77,M,H
130415966,19,M,H
130416002,22,M,H
130416143,19,F,H
130416152,12,M,H
130416168,30,M,H
130416271,52,M,H
130416309,51,M,H
130416329,49,F,H
130416340,15,F,H
130416345,18,M,H
130416365,42,F,H
130416503,14,M,H
130416538,23,F,H
130416554,44,F,H
130416563,50,F,H
130416566,27,F,H
130416629,19,M,H
130416662,63,F,H
130416691,12,F,W
130416694,25,F,H
130416705,57,M,A
130416753,28,M,H
130416768,28,F,H
130416769,50,M,H
130416774,25,F,H
130416826,36,M,H
130416886,20,M,H
130417005,31,M,H
130417011,19,M,H
130417034,36,M,H
130417041,31,F,H
130417099,36,M,H
130417123,55,M,W
130417137,65,F,H
130417139,14,M,H
130417199,20,M,O
130417205,31,M,H
130417262,24,M,H
130417265,40,F,H
130417343,59,F,B
130417400,13,F,H
130417409,12,F,H
130417410,13,F,H
130417414,45,F,H
130417420,19,F,O
130417421,25,M,H
130417460,31,F,H
130417473,23,F,H
130417504,23,M,H
130417547,19,M,H
130417548,17,M,H
130417549,19,M,H
130417558,54,M,H
130417594,30,M,H
130417613,15,F,H
130417630,27,M,H
130417682,19,F,H
130417686,29,M,H
130417775,28,M,H
130500501,34,M,H
130500502,50,M,H
130500556,14,F,H
130500648,42,M,H
130500656,48,M,H
130500661,36,M,B
130500710,44,F,H
130500809,30,F,H
130500893,35,F,W
130500973,45,M,H
130501016,30,F,H
130501019,26,F,H
130501037,33,F,H
130501078,27,M,B
130501160,16,F,H
130501161,16,M,H
130501172,71,M,H
130501173,27,F,H
130501205,26,M,H
130501213,48,M,H
130501214,23,M,H
130501266,17,M,H
130501313,24,F,B
130501358,25,F,H
130501361,43,M,W
130501367,88,M,W
130501407,19,M,H
130501437,18,F,H
130501458,43,M,H
130501462,29,M,H
130504018,30,F,H
130504021,31,M,W
130504083,58,M,W
130504099,27,M,O
130504126,51,M,H
130504195,29,F,H
130504216,25,M,H
130504228,43,F,H
130504238,28,M,H
130504279,20,M,B
130504502,59,M,H
130504602,12,F,B
130504609,33,M,H
130504630,12,M,B
130504668,32,F,W
130504734,23,M,W
130504802,34,F,B
130504804,21,F,B
130504811,20,F,B
130504851,45,M,W
130504872,16,M,H
130504878,27,M,H
130504880,30,F,H
130504890,22,F,H
130504902,73,F,W
